order_id,product_id,ship_mode,shipping_cost,ship_date
MX-2011-109029,OFF-BI-10004491,First Class,3.365,2023-07-21 00:00:00.000000 UTC
QA-2011-3520,OFF-SAN-10004881,First Class,34.36,2023-05-08 00:00:00.000000 UTC
QA-2011-3520,OFF-STA-10002654,First Class,4.43,2023-05-08 00:00:00.000000 UTC
EG-2011-7860,OFF-ROG-10002279,First Class,5.45,2023-11-06 00:00:00.000000 UTC
EG-2011-7860,TEC-NOK-10003341,First Class,5.81,2023-11-06 00:00:00.000000 UTC
SA-2011-7780,OFF-CAR-10003259,First Class,2.48,2023-01-21 00:00:00.000000 UTC
EG-2011-5100,OFF-ADV-10003030,First Class,2.03,2023-11-13 00:00:00.000000 UTC
EG-2011-5100,OFF-HON-10000172,First Class,15.57,2023-11-13 00:00:00.000000 UTC
EG-2011-8320,OFF-STA-10004108,First Class,22.71,2023-08-04 00:00:00.000000 UTC
EG-2011-5100,FUR-TEN-10002448,First Class,16.93,2023-11-13 00:00:00.000000 UTC
CA-2011-124023,FUR-FU-10004415,First Class,0.78,2023-04-10 00:00:00.000000 UTC
US-2011-117702,TEC-AC-10001106,First Class,8.593,2023-08-19 00:00:00.000000 UTC
US-2011-117702,TEC-PH-10001846,First Class,2.767,2023-08-19 00:00:00.000000 UTC
AG-2011-9610,FUR-HAR-10002178,First Class,47.5,2023-04-25 00:00:00.000000 UTC
KZ-2011-4170,TEC-LOG-10003539,First Class,2.13,2023-06-20 00:00:00.000000 UTC
KZ-2011-4170,TEC-CAN-10002802,First Class,14.04,2023-06-20 00:00:00.000000 UTC
KZ-2011-4170,OFF-CAR-10000687,First Class,1.06,2023-06-20 00:00:00.000000 UTC
KZ-2011-4170,OFF-ELI-10000541,First Class,2.02,2023-06-20 00:00:00.000000 UTC
MX-2011-130400,TEC-CO-10001264,First Class,17.184,2023-12-31 00:00:00.000000 UTC
MX-2011-118983,FUR-CH-10000788,First Class,57.571,2023-08-17 00:00:00.000000 UTC
MX-2011-118983,FUR-CH-10004993,First Class,128.494,2023-08-17 00:00:00.000000 UTC
IN-2011-44803,OFF-SU-10001731,First Class,25.85,2023-05-03 00:00:00.000000 UTC
IN-2011-44803,OFF-SU-10001869,First Class,21.48,2023-05-03 00:00:00.000000 UTC
IN-2011-44803,OFF-AP-10002306,First Class,162.08,2023-05-03 00:00:00.000000 UTC
IN-2011-44803,FUR-FU-10003939,First Class,52.26,2023-05-03 00:00:00.000000 UTC
IN-2011-56346,FUR-FU-10000921,First Class,82.31,2023-11-25 00:00:00.000000 UTC
IN-2011-44803,FUR-CH-10004572,First Class,80.66,2023-05-03 00:00:00.000000 UTC
IN-2011-44803,FUR-CH-10000027,First Class,752.47,2023-05-03 00:00:00.000000 UTC
