country,vendas_total,lucro_total,custo_envio_total,margem_liquida_total,qtd_pedidos,margem_liquida_pct
australia,341006.0,43045.45,35301.37,7744.08,1052,2.27
brazil,151188.0,13108.02,15665.05,-2557.03,630,-1.69
china,285935.0,59415.16,31276.22,28138.94,769,9.84
cuba,51453.0,13080.59,5559.12,7521.46,264,14.62
dominican republic,53332.0,-3104.22,6709.32,-9813.54,290,-18.4
el salvador,69630.0,14902.46,6816.48,8085.99,278,11.61
france,320380.0,41470.42,36041.47,5428.95,1043,1.69
germany,264851.0,44422.3,26416.82,18005.48,869,6.8
india,232892.0,47367.3,24657.98,22709.32,604,9.75
indonesia,155389.0,4221.16,16662.61,-12441.45,534,-8.01
italy,99949.0,2567.32,10967.8,-8400.48,461,-8.4
mexico,267769.0,43403.3,27966.17,15437.13,1058,5.77
new zealand,79734.0,8064.47,10144.48,-2080.01,281,-2.61
nicaragua,61944.0,12818.44,6531.33,6287.11,230,10.15
philippines,63188.0,-8272.53,5533.19,-13805.72,257,-21.85
spain,100245.0,17598.31,10566.66,7031.65,322,7.01
united kingdom,210250.0,47446.11,20606.69,26839.42,641,12.77
united states,954410.0,111162.58,99967.87,11194.71,4095,1.17
